Município,Classificação de % em relação a população geral,% em relação a população geral,Doses Aplicadas - D1,População,
ARIRANHA,325,15,72584776,1535,9761
JUNDIAÍ,326,15,70805142,66446,423006
SANTA ROSA DE VITERBO,327,15,70291182,4201,26753
CAMPOS NOVOS PAULISTA,328,15,68941365,784,4997
ELISIÁRIO,329,15,66134704,579,3697
AREIAS,330,15,65708419,610,3896
JACI,331,15,63368538,1125,7196
ONDA VERDE,332,15,62641339,691,4422
LINDÓIA,333,15,60800791,1263,8092
ITABERÁ,334,15,59496568,2726,17480
AMERICANA,335,15,58603079,37721,242018
MIRASSOL,336,15,57633949,9393,60303
IACANGA,337,15,55068308,1844,11858
CAIUÁ,338,15,53985873,924,5946
GLICÉRIO,339,15,48974943,748,4829
PILAR DO SUL,340,15,46493436,4547,29402
RUBIÁCEA,341,15,40164453,487,3162
RIBEIRÃO PRETO,342,15,39690233,109599,711825
APARECIDA,343,15,3350836,5549,36185
DOIS CÓRREGOS,344,15,33149171,4218,27512
GUARATINGUETÁ,345,15,29570222,18738,122505
IRAPUÃ,346,15,2833002,1230,8048
UNIÃO PAULISTA,347,15,28150134,285,1865
CERQUEIRA CÉSAR,348,15,27908474,3085,20191
GUAPIARA,349,15,27165933,2600,17025
JOSÉ BONIFÁCIO,350,15,2678906,5705,37366
CANANÉIA,351,15,25396699,1913,12541
SALTO GRANDE,352,15,23921401,1427,9364
ITAPURA,353,15,22924662,754,4951
CAMPINAS,354,15,19716723,184462,1213792
PIRACICABA,355,15,18863014,61856,407252
CATIGUÁ,356,15,18777849,1193,7855
SALESÓPOLIS,357,15,18664503,2620,17252
SALTINHO,358,15,1793161,1274,8393
SUZANÁPOLIS,359,15,17189836,609,4014
GUARANTÃ,360,15,16104869,1012,6675
VIRADOURO,361,15,13908608,2879,19017
SANTA BRANCA,362,15,11745305,2246,14857
VINHEDO,363,15,8032605,12081,80111
PIRACAIA,364,15,7537688,4140,27462
ICÉM,365,15,5298651,1250,8304
IBIRAREMA,366,15,3634741,1179,7841
JERIQUARA,367,15,1110759,473,3151
SARAPUÍ,368,14,98556304,1557,10390
CRUZEIRO,369,14,98467985,12373,82571
PRAIA GRANDE,370,14,93418368,49409,330845
NOVA GRANADA,371,14,9292268,3238,21689
PRESIDENTE EPITÁCIO,372,14,92261596,6624,44389
RIBEIRÃO BONITO,373,14,91841492,1984,13299
GUAÍRA,374,14,86111111,6099,41040
ANALÂNDIA,375,14,85363924,751,5056
CORUMBATAÍ,376,14,83759843,603,4064
BROTAS,377,14,81977594,3651,24636
GUARACI,378,14,79578276,1670,11287
GUATAPARÁ,379,14,78791024,1140,7709
ANGATUBA,380,14,77687507,3765,25479
RIBEIRÃO PIRES,381,14,76977102,18338,124159
TATUÍ,382,14,75599145,18145,122967
PARAGUAÇU PAULISTA,383,14,75024486,6777,45945
BOFETE,384,14,69675363,1752,11921
PEDRO DE TOLEDO,385,14,69223361,1678,11421
IBITINGA,386,14,66666667,8888,60600
PEDREIRA,387,14,66273239,7106,48463
SÃO MANUEL,388,14,6560319,6027,41123
JACAREÍ,389,14,64089102,34467,235416
PIRAJUÍ,390,14,63509468,3764,25719
SANTO ANTÔNIO DO ARACANGUÁ,391,14,63270841,1241,8481
PIEDADE,392,14,61416586,8117,55542
TEJUPÁ,393,14,60699176,656,4491
GUARAREMA,394,14,58720467,4396,30136
BRODOWSKI,395,14,58638288,3687,25277
MOGI GUAÇU,396,14,58378258,22318,153033
PATROCÍNIO PAULISTA,397,14,56068076,2156,14807
APIAÍ,398,14,55873855,3527,24226
TAUBATÉ,399,14,55420474,46270,317915
GETULINA,400,14,55403162,1666,11447
MIGUELÓPOLIS,401,14,53366137,3249,22355
LUPÉRCIO,402,14,51261967,667,4596
MINEIROS DO TIETÊ,403,14,49946013,1880,12966
ITAPETININGA,404,14,49742035,23997,165526
VALINHOS,405,14,49660849,19021,131210
RINCÃO,406,14,48390677,1566,10812
QUATÁ,407,14,47572132,2057,14210
SANTO ANTÔNIO DO PINHAL,408,14,47194961,988,6827
PARAIBUNA,409,14,47188304,2643,18263
QUADRA,410,14,45251687,557,3854
PROMISSÃO,411,14,44841775,5899,40828
BARBOSA,412,14,4483128,1079,7468
NAZARÉ PAULISTA,413,14,44539523,2701,18698
MAIRINQUE,414,14,44531102,6853,47441
SÃO JOAQUIM DA BARRA,415,14,42305855,7546,52319
IBIÚNA,416,14,41890311,11460,79479
SÃO BERNARDO DO CAMPO,417,14,38536951,121482,844483
MIRACATU,418,14,36644097,2822,19643
MATÃO,419,14,33884199,11991,83626
MOMBUCA,420,14,3386545,503,3508
IPAUSSU,421,14,33406331,2160,15069
LORENA,422,14,33043478,12772,89125
SÃO JOSÉ DOS CAMPOS,423,14,31625366,104471,729737
PANORAMA,424,14,30462741,2269,15862
FRANCA,425,14,30060607,50896,355901
HERCULÂNDIA,426,14,26783479,1368,9588
PEREIRAS,427,14,24826171,1250,8773
BOCAINA,428,14,18246065,1766,12452
MORUNGABA,429,14,12814745,1947,13781
GAVIÃO PEIXOTO,430,14,12253375,680,4815
PEDREGULHO,431,14,10980905,2372,16811
GASTÃO VIDIGAL,432,14,9465021,685,4860
TACIBA,433,14,9385369,892,6329
FLÓRIDA PAULISTA,434,14,8384043,2083,14790
JAMBEIRO,435,14,836683,946,6717
ALAMBARI,436,14,6428455,862,6129
MACATUBA,437,14,6413385,2421,17214
COROADOS,438,14,316528,860,6129
ORLÂNDIA,439,14,2840397,6223,44360
ROSEIRA,440,14,1722063,1514,10801
SALTO DE PIRAPORA,441,13,99476668,6418,45860
CRISTAIS PAULISTA,442,13,99403533,1220,8718
MOTUCA,443,13,99374348,671,4795
ANHEMBI,444,13,99032116,954,6819
GUARÁ,445,13,99005069,2981,21308
JARDINÓPOLIS,446,13,94929953,6273,44970
JÚLIO MESQUITA,447,13,89583333,667,4800
CAÇAPAVA,448,13,86474142,13174,95018
ITAPEVA,449,13,86439391,13144,94804
GUZOLÂNDIA,450,13,83078952,734,5307
BOREBI,451,13,8278047,371,2683
NARANDIBA,452,13,82544861,678,4904
GUAPIAÇU,453,13,81859931,3009,21775
TIETÊ,454,13,81094621,5872,42517
SÃO ROQUE,455,13,79209211,12697,92060
ITARARÉ,456,13,78894988,6983,50642
SANTÓPOLIS DO AGUAPEÍ,457,13,78451318,664,4817
ITU,458,13,74624077,24134,175568
IGARAPAVA,459,13,72901287,4203,30614
TABATINGA,460,13,72266282,2284,16644
BENTO DE ABREU,461,13,71048253,412,3005
RIBEIRÃO GRANDE,462,13,67365542,1050,7679
TREMEMBÉ,463,13,6060695,6492,47714
EUCLIDES DA CUNHA PAULISTA,464,13,59785523,1268,9325
SETE BARRAS,465,13,5915493,1737,12780
LIMEIRA,466,13,55994839,41830,308482
LEME,467,13,52423667,14112,104346
SALTO,468,13,49635866,16160,119736
ITAPUÍ,469,13,48695837,1908,14147
CAPÃO BONITO,470,13,45770194,6341,47118
SANTO ANTÔNIO DE POSSE,471,13,45573548,3166,23529
SOROCABA,472,13,44847001,92439,687357
LENÇÓIS PAULISTA,473,13,43962893,9272,68990
PIRAPOZINHO,474,13,43229805,3728,27754
PEDERNEIRAS,475,13,41300333,6319,47111
TARABAI,476,13,38196287,1009,7540
CRAVINHOS,477,13,36181455,4754,35579
PORTO FELIZ,478,13,35717763,7133,53402
LUIZIÂNIA,479,13,30486764,779,5855
RAFARD,480,13,28425448,1209,9101
TEODORO SAMPAIO,481,13,26000086,3086,23273
NOVA LUZITÂNIA,482,13,24519231,551,4160
VALENTIM GENTIL,483,13,22790423,1790,13532
SÃO MIGUEL ARCANJO,484,13,16889886,4346,33002
ITATIBA,485,13,16435663,16137,122581
PINDAMONHANGABA,486,13,1462629,22366,170132
JUQUITIBA,487,13,14226127,4159,31646
SERTÃOZINHO,488,13,11132435,16670,127142
SANTA MARIA DA SERRA,489,13,10134702,817,6236
JUMIRIM,490,13,7782329,447,3418
JACUPIRANGA,491,13,3594388,2332,17889
JOÃO RAMALHO,492,13,3010327,593,4551
GUAIÇARA,493,12,99007646,1597,12294
PARANAPANEMA,494,12,98847757,2649,20395
SANDOVALINA,495,12,95360588,564,4354
PLANALTO,496,12,95248869,687,5304
SANTA ERNESTINA,497,12,93843951,723,5588
CAMPOS DO JORDÃO,498,12,87854212,6749,52405
BIRIGUI,499,12,86964599,16072,124883
INDAIATUBA,500,12,82866878,32870,256223
JAGUARIÚNA,501,12,81802391,7527,58722
SANTA BÁRBARA D'OESTE,502,12,81701734,24915,194390
CERQUILHO,503,12,77257941,6361,49802
OSASCO,504,12,73787617,89158,699944
NANTES,505,12,67694244,403,3179
ESTIVA GERBI,506,12,67642676,1446,11407
ITARIRI,507,12,65484714,2227,17598
ARAÇOIABA DA SERRA,508,12,64665286,4398,34776
SANTA ISABEL,509,12,62809233,7320,57966
AGUAÍ,510,12,6146038,4623,36648
CAPIVARI,511,12,60575746,7107,56379
PONTALINDA,512,12,60162602,589,4674
BARUERI,513,12,59287607,34880,276982
QUEIROZ,514,12,57225434,435,3460
SÃO LOURENÇO DA SERRA,515,12,47965953,1994,15978
GUARUJÁ,516,12,46444617,40229,322750
DUMONT,517,12,46133892,1249,10023
HOLAMBRA,518,12,46071242,1903,15272
SANTA CRUZ DAS PALMEIRAS,519,12,43630711,4320,34737
CORDEIRÓPOLIS,520,12,43051639,3086,24826
ALTAIR,521,12,42236025,520,4186
JARINU,522,12,37221152,3788,30617
MOGI DAS CRUZES,523,12,36309993,55731,450785
BOA ESPERANÇA DO SUL,524,12,3385271,1853,15018
CESÁRIO LANGE,525,12,32108844,2264,18375
CAPELA DO ALTO,526,12,29926138,2581,20985
TARUMÃ,527,12,29006125,1866,15183
RIBEIRÃO CORRENTE,528,12,26851852,583,4752
ARTUR NOGUEIRA,529,12,25695699,6783,55340
SÃO VICENTE,530,12,25231095,45132,368355
CONCHAL,531,12,20245464,3450,28273
NOVA EUROPA,532,12,19726993,1385,11355
CHARQUEADA,533,12,17826913,2115,17367
ILHABELA,534,12,14913883,4324,35591
ITAÍ,535,12,14666569,3326,27382
NOVA INDEPENDÊNCIA,536,12,1144831,491,4053
RIBEIRÃO BRANCO,537,12,905558,1960,16211
PAULICÉIA,538,12,8746982,901,7454
VALPARAÍSO,539,12,833644,3241,26822
ESPÍRITO SANTO DO TURVO,540,12,7462075,589,4878
CLEMENTINA,541,12,7034373,1057,8757
BIRITIBA MIRIM,542,12,4457129,3967,32936
AMÉRICO BRASILIENSE,543,12,174498,4931,41032
MONTE MOR,544,11,98275011,7280,60754
IGARAÇU DO TIETÊ,545,11,95603863,2959,24749
CARAGUATATUBA,546,11,92975063,14720,123389
UBATUBA,547,11,90211709,10929,91824
SÃO JOSÉ DA BELA VISTA,548,11,89732143,1066,8960
FRANCO DA ROCHA,549,11,86258723,18564,156492
ELIAS FAUSTO,550,11,85325602,2126,17936
REGINÓPOLIS,551,11,81254448,1162,9837
ITAPIRAPUÃ PAULISTA,552,11,80880975,504,4268
SANTA LÚCIA,553,11,80257511,1045,8854
IPUÃ,554,11,77427126,1955,16604
PRATÂNIA,555,11,77355652,626,5317
NOVA ODESSA,556,11,7658639,7172,60956
TAGUAÍ,557,11,74598685,1661,14141
QUELUZ,558,11,74481846,1598,13606
BARRA DO CHAPÉU,559,11,73611111,676,5760
MORRO AGUDO,560,11,72795001,3904,33288
POÁ,561,11,68577681,13830,118349
TABOÃO DA SERRA,562,11,66516829,34255,293652
DIADEMA,563,11,66120298,49765,426757
RESTINGA,564,11,6421409,894,7679
IRACEMÁPOLIS,565,11,61940359,2860,24614
VOTORANTIM,566,11,53731017,14260,123599
BOITUVA,567,11,50233232,7151,62170
CAJATI,568,11,50066681,3277,28494
UBARANA,569,11,46875,734,6400
NIPOÃ,570,11,4005285,604,5298
PAULÍNIA,571,11,39433765,12762,112003
CANAS,572,11,33743274,590,5204
BURI,573,11,29977461,2256,19965
SEVERÍNIA,574,11,27342733,1991,17661
BOM JESUS DOS PERDÕES,575,11,22955551,2918,25985
ITIRAPINA,576,11,20356774,2060,18387
SUZANO,577,11,16087025,33545,300559
ARUJÁ,578,11,1412179,10156,91157
CAIEIRAS,579,11,12819265,11437,102775
ITATINGA,580,11,12757516,2328,20921
CAMPO LIMPO PAULISTA,581,11,9643329,9492,85541
SUMARÉ,582,11,6491365,31669,286211
CUBATÃO,583,11,4341088,14536,131626
BERTIOGA,584,11,381626,7122,64723
SÃO SEBASTIÃO,585,10,96780622,9907,90328
SANTANA DE PARNAÍBA,586,10,96619138,15605,142301
MAIRIPORÃ,587,10,92733747,11139,101937
ÁLVARO DE CARVALHO,588,10,92150171,576,5274
HORTOLÂNDIA,589,10,89435198,25521,234259
NOVAIS,590,10,86627418,646,5945
RIO DAS PEDRAS,591,10,86238738,3882,35738
COTIA,592,10,85770165,27536,253608
VISTA ALEGRE DO ALTO,593,10,84659028,975,8989
RIOLÂNDIA,594,10,82827646,1374,12689
CANITAR,595,10,63869992,563,5292
CARAPICUÍBA,596,10,59593286,42721,403183
MARABÁ PAULISTA,597,10,59179556,630,5948
ORINDIÚVA,598,10,57825966,761,7194
ALUMÍNIO,599,10,53977727,1978,18767
IBATÉ,600,10,52943166,3735,35472
PITANGUEIRAS,601,10,52894212,4220,40080
GUARIBA,602,10,51448613,4257,40487
PIRAPORA DO BOM JESUS,603,10,36604443,1988,19178
AREIÓPOLIS,604,10,33339308,1153,11158
DOBRADA,605,10,29966704,928,9010
EMBU-GUAÇU,606,10,26880874,7178,69901
VARGEM GRANDE PAULISTA,607,10,20984514,5459,53468
AVANHANDAVA,608,10,1955408,1413,13859
PRADÓPOLIS,609,10,7177799,2203,21873
SERRA AZUL,610,10,4605834,1505,14981
LUÍS ANTÔNIO,611,10,3138896,1534,15292
MAUÁ,612,9,927714678,47410,477552
IPEÚNA,613,9,91283986,762,7687
EMBU DAS ARTES,614,9,750302855,26963,276535
ITAPECERICA DA SERRA,615,9,681867816,17201,177662
COSMÓPOLIS,616,9,664643275,7101,73474
GUAREÍ,617,9,630963096,1819,18887
LAVRINHAS,618,9,465189441,692,7311
ENGENHEIRO COELHO,619,9,289848934,1974,21249
CAJAMAR,620,9,255267277,7213,77934
ITUPEVA,621,9,211468963,5786,62813
FRANCISCO MORATO,622,9,209437436,16359,177633
GUARULHOS,623,9,174489861,127720,1392121
BARRINHA,624,9,15310428,3037,33180
BOM SUCESSO DE ITARARÉ,625,9,136546185,364,3984
NOVA CAMPINA,626,9,97363083,897,9860
VÁRZEA PAULISTA,627,9,94750185,11193,123071
SANTA GERTRUDES,628,9,57375552,2480,27381
FERRAZ DE VASCONCELOS,629,8,860559796,17411,196500
JANDIRA,630,8,712684795,11009,126356
CABREÚVA,631,8,705308453,4390,50429
ARAÇARIGUAMA,632,8,696412948,1988,22860
LOUVEIRA,633,8,609205289,4304,49993
IARAS,634,8,584638016,817,9517
TAQUARIVAÍ,635,8,441888005,499,5911
LAVÍNIA,636,8,35978836,1027,12285
IPERÓ,637,8,355283953,3172,37964
RIO GRANDE DA SERRA,638,8,25297457,4245,51436
POTIM,639,8,245125348,2072,25130
PONTAL,640,8,1651852,4069,50852
ITAPEVI,641,7,731541619,18630,240961
PALMARES PAULISTA,642,7,644965149,1031,13486
ITAQUAQUECETUBA,643,7,113657999,26677,375011
PRACINHA,644,6,95631529,293,4212
BALBINOS,645,5,915065723,351,5934
